statistic,,,,,gpu_time-rl,cpu_time,gpu_gflops-rl,cpu_gflops,gpu_gflops-ll,gpu_time-ll,gpu_time-rl_no_tensor,gpu_gflops-rl_no_tensor,
block_size,m,iter1,iter1,iter1,iter1,iter1,iter1,iter1,iter1,
4,64,5.363610e-04,,0.326,,0.353,4.950950e-04,4.950950e-04,0.353,
4,128,9.202610e-04,,1.519,,1.602,8.726080e-04,8.726080e-04,1.602,
4,256,1.726055e-03,,6.480,,6.732,1.661511e-03,1.661511e-03,6.732,
4,512,3.364905e-03,,26.592,,27.009,3.312919e-03,3.312919e-03,27.009,
4,1024,,,,,,,,,
4,2048,,,,,,,,,
4,4096,8.406423e-02,,544.976,,572.141,8.007287e-02,8.007287e-02,572.141,
4,8192,5.928039e-01,,618.255,,779.660,4.700816e-01,4.700816e-01,779.660,
4,16384,4.486103e+00,,653.581,,835.207,3.510542e+00,3.510542e+00,835.207,
8,64,3.299290e-04,,0.530,,0.602,2.902890e-04,2.902890e-04,0.602,
8,128,5.453330e-04,,2.564,,2.779,5.030920e-04,5.030920e-04,2.779,
8,256,9.892850e-04,,11.306,,11.679,9.576730e-04,9.576730e-04,11.679,
8,512,1.889328e-03,,47.360,,48.100,1.860250e-03,1.860250e-03,48.100,
8,1024,3.879138e-03,,184.533,,182.165,3.929564e-03,3.929564e-03,182.165,
8,2048,1.026398e-02,,557.934,,543.694,1.053280e-02,1.053280e-02,543.694,
8,4096,4.083274e-02,,1121.967,,1128.663,4.059048e-02,4.059048e-02,1128.663,
8,8192,2.297711e-01,,1595.083,,1565.120,2.341698e-01,2.341698e-01,1565.120,
8,16384,1.600671e+00,,1831.751,,1691.787,1.733097e+00,1.733097e+00,1691.787,
16,64,3.285470e-04,,0.532,,0.613,2.852990e-04,2.852990e-04,0.613,
16,128,5.412690e-04,,2.583,,2.832,4.937020e-04,4.937020e-04,2.832,
16,256,9.582910e-04,,11.672,,12.140,9.213130e-04,9.213130e-04,12.140,
16,512,1.787969e-03,,50.045,,50.304,1.778771e-03,1.778771e-03,50.304,
16,1024,3.593737e-03,,199.188,,191.118,3.745467e-03,3.745467e-03,191.118,
16,2048,8.563668e-03,,668.711,,640.843,8.936083e-03,8.936083e-03,640.843,
16,4096,2.732527e-02,,1676.579,,1617.695,2.831991e-02,2.831991e-02,1617.695,
16,8192,1.317401e-01,,2782.023,,2651.409,1.382299e-01,1.382299e-01,2651.409,
16,16384,8.537006e-01,,3434.496,,3144.576,9.324091e-01,9.324091e-01,3144.576,
32,64,3.409210e-04,,0.513,,0.677,2.582450e-04,2.582450e-04,0.677,
32,128,5.390110e-04,,2.594,,2.881,4.852100e-04,4.852100e-04,2.881,
32,256,8.992040e-04,,12.439,,12.695,8.810110e-04,8.810110e-04,12.695,
32,512,1.717344e-03,,52.103,,50.453,1.773519e-03,1.773519e-03,50.453,
32,1024,3.498779e-03,,204.594,,199.312,3.591489e-03,3.591489e-03,199.312,
32,2048,7.599525e-03,,753.550,,717.880,7.977135e-03,7.977135e-03,717.880,
32,4096,2.061579e-02,,2222.228,,2087.347,2.194794e-02,2.194794e-02,2087.347,
32,8192,8.206791e-02,,4465.861,,4215.026,8.695176e-02,8.695176e-02,4215.026,
32,16384,4.775540e-01,,6139.685,,5715.970,5.129542e-01,5.129542e-01,5715.970,
64,64,2.848820e-04,,0.613,,0.707,2.471720e-04,2.471720e-04,0.707,
64,128,4.852710e-04,,2.881,,2.939,4.757810e-04,4.757810e-04,2.939,
64,256,8.978930e-04,,12.457,,13.015,8.593850e-04,8.593850e-04,13.015,
64,512,1.723182e-03,,51.926,,51.661,1.732027e-03,1.732027e-03,51.661,
64,1024,3.376747e-03,,211.987,,202.815,3.529467e-03,3.529467e-03,202.815,
64,2048,7.223451e-03,,792.782,,742.895,7.708526e-03,7.708526e-03,742.895,
64,4096,1.801436e-02,,2543.137,,2263.757,2.023759e-02,2.023759e-02,2263.757,
64,8192,5.932251e-02,,6178.158,,5062.554,7.239505e-02,7.239505e-02,5062.554,
64,16384,3.004886e-01,,9757.544,,7529.924,3.893839e-01,3.893839e-01,7529.924,

